textbox22,Textbox9
generated on 20/03/2020 13:55:10 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Armenia,European Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,,60,0,6,10,,0,16,0,0,0,0,16,,No Report
Armenia,European Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,,25,0,5,7,,0,12,0,0,0,0,12,,No Report
Armenia,European Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,,38,0,5,1,,0,6,0,0,0,0,6,,No Report
Armenia,European Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,,21,0,2,2,,0,4,0,0,0,0,4,,No Report
Armenia,European Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,,20,0,1,3,,0,4,0,0,0,0,4,,No Report
Armenia,European Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,,16,0,0,1,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,,14,0,0,1,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,,13,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,,11,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,,19,0,0,1,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,,12,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,,6,0,0,1,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,25,2019-06-17,2019-06-23,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,26,2019-06-24,2019-06-30,,8,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,27,2019-07-01,2019-07-07,,7,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,28,2019-07-08,2019-07-14,,5,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,29,2019-07-15,2019-07-21,,76,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,30,2019-07-22,2019-07-28,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,31,2019-07-29,2019-08-04,,6,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,32,2019-08-05,2019-08-11,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,33,2019-08-12,2019-08-18,,12,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,34,2019-08-19,2019-08-25,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,35,2019-08-26,2019-09-01,,8,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,36,2019-09-02,2019-09-08,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,37,2019-09-09,2019-09-15,,15,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,38,2019-09-16,2019-09-22,,11,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,39,2019-09-23,2019-09-29,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,40,2019-09-30,2019-10-06,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,41,2019-10-07,2019-10-13,,26,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,42,2019-10-14,2019-10-20,,28,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,43,2019-10-21,2019-10-27,,35,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,44,2019-10-28,2019-11-03,,33,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,45,2019-11-04,2019-11-10,,26,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,46,2019-11-11,2019-11-17,,32,0,0,0,,0,0,0,0,0,0,0,,No Report
Armenia,European Region of WHO,Western Asia,2019,47,2019-11-18,2019-11-24,,26,0,1,0,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,48,2019-11-25,2019-12-01,,29,0,1,0,,0,1,0,0,0,0,1,,No Report
Armenia,European Region of WHO,Western Asia,2019,49,2019-12-02,2019-12-08,,36,0,1,0,,0,1,0,2,0,2,3,,No Report
Armenia,European Region of WHO,Western Asia,2019,50,2019-12-09,2019-12-15,,30,0,3,0,,0,3,0,1,0,1,4,,No Report
Armenia,European Region of WHO,Western Asia,2019,51,2019-12-16,2019-12-22,,23,0,2,0,,0,2,0,1,0,1,3,,No Report
Armenia,European Region of WHO,Western Asia,2019,52,2019-12-23,2019-12-29,,39,0,5,0,,0,5,0,0,2,2,7,,No Report
Armenia,European Region of WHO,Western Asia,2020,1,2019-12-30,2020-01-05,,13,0,5,0,,0,5,0,4,0,4,9,,No Report
Armenia,European Region of WHO,Western Asia,2020,2,2020-01-06,2020-01-12,,30,0,12,0,,0,12,0,3,0,3,15,,No Report
Armenia,European Region of WHO,Western Asia,2020,3,2020-01-13,2020-01-19,,71,0,22,0,,0,22,0,12,0,12,34,,No Report
Armenia,European Region of WHO,Western Asia,2020,4,2020-01-20,2020-01-26,,102,0,42,0,,0,42,0,11,0,11,53,,No Report
Armenia,European Region of WHO,Western Asia,2020,5,2020-01-27,2020-02-02,,89,0,37,0,,0,37,0,8,0,8,45,,No Report
Armenia,European Region of WHO,Western Asia,2020,6,2020-02-03,2020-02-09,,138,0,40,0,,0,40,0,12,0,12,52,,No Report
Armenia,European Region of WHO,Western Asia,2020,7,2020-02-10,2020-02-16,,100,0,14,0,,0,14,0,24,0,24,38,,No Report
Armenia,European Region of WHO,Western Asia,2020,8,2020-02-17,2020-02-23,,75,0,8,11,,0,19,0,20,0,20,39,,No Report
Armenia,European Region of WHO,Western Asia,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
Armenia,European Region of WHO,Western Asia,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
Armenia,European Region of WHO,Western Asia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
Armenia,European Region of WHO,Western Asia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,226,0,4,0,,15,19,0,0,0,0,19,,No Report
Austria,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,506,0,15,4,,61,80,0,0,3,3,83,,No Report
Austria,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,472,0,22,4,,80,106,0,0,0,0,106,,No Report
Austria,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,914,0,29,9,,216,254,0,0,1,1,255,,No Report
Austria,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,1144,0,33,15,,270,318,0,0,0,0,318,,No Report
Austria,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,1403,0,49,11,,391,451,0,0,1,1,452,,No Report
Austria,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,1359,0,50,7,,401,458,0,0,0,0,458,,No Report
Austria,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,1206,0,34,15,,344,393,0,0,1,1,394,,No Report
Austria,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,1078,0,33,24,,320,377,0,0,1,1,378,,No Report
Austria,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,1031,0,32,20,,296,348,0,0,3,3,351,,No Report
Austria,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,884,0,20,16,,238,274,0,0,3,3,277,,No Report
Austria,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,778,0,6,14,,175,195,0,0,2,2,197,,No Report
Austria,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,368,0,2,3,,70,75,0,0,1,1,76,,No Report
Austria,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,394,0,0,3,,40,43,0,0,0,0,43,,No Report
Austria,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,286,0,0,2,,14,16,0,0,0,0,16,,No Report
Austria,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,222,0,5,3,,26,34,0,0,0,0,34,,No Report
Austria,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,152,0,1,0,,8,9,0,0,0,0,9,,No Report
Austria,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,68,0,0,0,,1,1,0,0,0,0,1,,No Report
Austria,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,63,0,0,1,,1,2,0,0,0,0,2,,No Report
Austria,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Austria,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,,16,0,0,0,,0,0,0,0,0,0,0,,No Report
Austria,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Austria,European Region of WHO,South West Europe,2019,43,2019-10-21,2019-10-27,,18,0,0,0,,0,0,0,0,0,0,0,,No Report
Austria,European Region of WHO,South West Europe,2019,44,2019-10-28,2019-11-03,,29,0,0,0,,0,0,0,0,0,0,0,,No Report
Austria,European Region of WHO,South West Europe,2019,45,2019-11-04,2019-11-10,,150,0,0,0,,1,1,0,0,0,0,1,,No Report
Austria,European Region of WHO,South West Europe,2019,46,2019-11-11,2019-11-17,,110,0,1,0,,2,3,1,0,1,2,5,,No Report
Austria,European Region of WHO,South West Europe,2019,47,2019-11-18,2019-11-24,,107,0,1,1,,0,2,0,0,1,1,3,,No Report
Austria,European Region of WHO,South West Europe,2019,48,2019-11-25,2019-12-01,,118,0,0,0,,1,1,0,0,0,0,1,,No Report
Austria,European Region of WHO,South West Europe,2019,49,2019-12-02,2019-12-08,,316,0,0,1,,20,21,0,0,2,2,23,,No Report
Austria,European Region of WHO,South West Europe,2019,50,2019-12-09,2019-12-15,,514,0,2,1,,137,140,0,0,12,12,152,,No Report
Austria,European Region of WHO,South West Europe,2019,51,2019-12-16,2019-12-22,,881,0,12,37,,275,324,0,0,41,41,365,,No Report
Austria,European Region of WHO,South West Europe,2019,52,2019-12-23,2019-12-29,,213,0,9,4,,53,66,0,0,12,12,78,,No Report
Austria,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,,245,0,8,6,,33,47,0,0,4,4,51,,No Report
Austria,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,,694,0,10,10,,118,138,0,0,25,25,163,,No Report
Austria,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,,1008,0,40,27,,274,341,0,0,48,48,389,,No Report
Austria,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,,1650,0,69,74,,478,621,0,0,121,121,742,,No Report
Austria,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,,1834,0,41,65,,511,617,0,26,166,192,809,,No Report
Austria,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,,1917,0,55,68,,532,655,0,16,163,179,834,,No Report
Austria,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,,1813,0,31,59,,431,521,0,12,155,167,688,,No Report
Austria,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,,1487,0,19,39,,210,268,0,7,115,122,390,,No Report
Austria,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,,1134,0,18,33,,197,248,0,11,98,109,357,,No Report
Austria,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,,1447,0,19,22,,173,214,0,18,142,160,374,,No Report
Austria,European Region of WHO,South West Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,,3,0,1,0,,0,1,0,0,0,0,1,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,,37,0,0,2,,2,4,0,0,0,0,4,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,,82,0,16,5,,22,43,0,0,0,0,43,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,,86,0,0,0,,17,17,0,0,0,0,17,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,,86,0,0,0,,17,17,0,0,0,0,17,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,,56,0,0,0,,13,13,0,0,0,0,13,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,,59,0,0,0,,14,14,0,0,0,0,14,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,,35,0,0,0,,7,7,0,0,0,0,7,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,,46,0,0,0,,5,5,0,0,0,0,5,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,,26,0,0,0,,3,3,0,0,0,0,3,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,,35,0,0,0,,1,1,0,0,0,0,1,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,,11,0,0,0,,4,4,0,0,0,0,4,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,,10,0,0,0,,1,1,0,0,0,0,1,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,,19,0,0,0,,2,2,0,0,0,0,2,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,,34,0,0,0,,5,5,0,0,0,0,5,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,,23,0,0,0,,1,1,0,0,0,0,1,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,,6,0,0,0,,0,0,0,0,0,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,,,,,,,,,,,,,,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,,4,0,0,0,,0,0,0,0,0,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,,4,0,0,0,,0,0,0,0,0,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,,2,0,0,0,,0,0,0,0,0,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
